name,count,label
Pink,2,pink
Water,2,water
Play,3,play
Water resources,1,water_resources
Vacation,2,vacation
Snapshot,1,snapshot
Recreation,2,recreation
Fun,2,fun
Leisure,2,leisure
Swimming pool,1,swimming_pool
Water park,1,water_park
Smile,1,smile
Child,5,child
Summer,1,summer
Toddler,5,toddler
Atmospheric phenomenon,1,atmospheric_phenomenon
Mountain range,1,mountain_range
Morning,1,morning
Hill station,1,hill_station
Nature,1,nature
Cloud,1,cloud
Atmosphere,1,atmosphere
Tree,1,tree
Storm,1,storm
Sky,1,sky
Wind,1,wind
Mode of transport,1,mode_of_transport
Face,4,face
Baby,3,baby
Cheek,4,cheek
Skin,4,skin
Photograph,3,photograph
Facial expression,3,facial_expression
Nose,4,nose
Head,4,head
Black,1,black
Hair,4,hair
Leg,1,leg
Blond,1,blond
Mouth,1,mouth
Ear,1,ear
Product,1,product
